city,stad_capacity,lat,long,capacity_level,capacity,population
Москва,81000/45360,55.71566,37.55532,высокий,30090,12506468
Волгоград,45015,48.73436,44.54984,низкий,1100,1015586
Екатеринбург,35000,56.83205,60.57533,средний,2100,1455904
Казань,45000,55.82075,49.16086,средний,1270,1243500
Саранск,45360,54.18157,45.20373,низкий,200,314789
Ростов-на-Дону,43702,47.20923,39.73833,средний,530,1125299
Самара,44918,53.27814,50.20375,средний,2000,1169719
Калининград,35015,54.69795,20.53387,средний,2540,467289
Нижний Новгород,44899,56.33622,43.96111,низкий,1250,1264075
Санкт-Петербург,67800,59.97262,30.22227,высокий,10120,5351935
Сочи,44000,43.40199,39.95556,средний,2600,429070
